지역,제목,작성자,라이선스,썸네일,출처
서울 강남구,Gangnam library,Leedors527,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/4/46/Gangnam_library.jpg/960px-Gangnam_library.jpg,https://commons.wikimedia.org/wiki/File:Gangnam_library.jpg
서울 강동구,Seoul Gangdong Library,Vitzro2011,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Seoul_Gangdong_Library.jpg/960px-Seoul_Gangdong_Library.jpg,https://commons.wikimedia.org/wiki/File:Seoul_Gangdong_Library.jpg
서울 구로구,Geori Street Park Guro,Brit in Seoul,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/Geori_Street_Park%2C_Guro.jpg/960px-Geori_Street_Park%2C_Guro.jpg,https://commons.wikimedia.org/wiki/File:Geori_Street_Park%2C_Guro.jpg
서울 노원구,Nowon-gu Jungnangcheon Park,Ox1997cow,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Nowon-gu_Jungnangcheon_Park.jpg/960px-Nowon-gu_Jungnangcheon_Park.jpg,https://commons.wikimedia.org/wiki/File:Nowon-gu_Jungnangcheon_Park.jpg
서울 도봉구,Dobong-gu Jungnangcheon Park,Ox1997cow,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/Dobong-gu_Jungnangcheon_Park.jpg/960px-Dobong-gu_Jungnangcheon_Park.jpg,https://commons.wikimedia.org/wiki/File:Dobong-gu_Jungnangcheon_Park.jpg
서울 동대문구,Dongdaemun-gu Public Digital Library,Motoko C. K.,CC0,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d6/Dongdaemun-gu_Public_Digital_Library.jpg/960px-Dongdaemun-gu_Public_Digital_Library.jpg,https://commons.wikimedia.org/wiki/File:Dongdaemun-gu_Public_Digital_Library.jpg
서울 서대문구,Mountain Inwang and Seodaemun Independence Park,MonasteryInwang,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/b4/Mountain_Inwang_and_Seodaemun_Independence_Park.jpg/960px-Mountain_Inwang_and_Seodaemun_Independence_Park.jpg,https://commons.wikimedia.org/wiki/File:Mountain_Inwang_and_Seodaemun_Independence_Park.jpg
서울 서초구,Seocho-gu Skyline from Han River — Dec 2023,SpaceshipMe,CC0,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/30/Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg/960px-Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg,https://commons.wikimedia.org/wiki/File:Seocho-gu_Skyline_from_Han_River_%E2%80%94_Dec_2023.jpg
서울 송파구,Seoul Olympic Park Songpa-gu (49175055591),Matt Kieffer from London United Kingdom,CC BY-SA 2.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/60/Seoul_Olympic_Park%2C_Songpa-gu_%2849175055591%29.jpg/960px-Seoul_Olympic_Park%2C_Songpa-gu_%2849175055591%29.jpg,https://commons.wikimedia.org/wiki/File:Seoul_Olympic_Park%2C_Songpa-gu_(49175055591).jpg
서울 은평구,Eunpyeong History Hanok Museum 20220725 001,Mobius6,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/52/Eunpyeong_History_Hanok_Museum_20220725_001.jpg/960px-Eunpyeong_History_Hanok_Museum_20220725_001.jpg,https://commons.wikimedia.org/wiki/File:Eunpyeong_History_Hanok_Museum_20220725_001.jpg
서울 종로구,Entrance of the Jongno Public Library,MonasteryInwang,CC0,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/Entrance_of_the_Jongno_Public_Library.jpg/960px-Entrance_of_the_Jongno_Public_Library.jpg,https://commons.wikimedia.org/wiki/File:Entrance_of_the_Jongno_Public_Library.jpg
서울 중구,Cityscape of Jung-gu Seoul Station Square 20240219,Sean Young (@assanges),CC BY 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/18/Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg/960px-Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg,https://commons.wikimedia.org/wiki/File:Cityscape_of_Jung-gu_Seoul_Station_Square_20240219.jpg
인천 계양구,Gyeyang Mountain Castle 20081228,User:G43,CC BY 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ad/Gyeyang_Mountain_Castle_20081228.jpg/960px-Gyeyang_Mountain_Castle_20081228.jpg,https://commons.wikimedia.org/wiki/File:Gyeyang_Mountain_Castle_20081228.jpg
인천 서해구,Columbia Park Incheon Seo-gu,Pk0001,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/06/Columbia_Park_Incheon_Seo-gu.svg/960px-Columbia_Park_Incheon_Seo-gu.svg.png,https://commons.wikimedia.org/wiki/File:Columbia_Park_Incheon_Seo-gu.svg
전남 목포,Mokpo Modern History Museum (Building 1) 20241005 002,Mobius6,CC BY-SA 4.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/67/Mokpo_Modern_History_Museum_%28Building_1%29_20241005_002.jpg/960px-Mokpo_Modern_History_Museum_%28Building_1%29_20241005_002.jpg,https://commons.wikimedia.org/wiki/File:Mokpo_Modern_History_Museum_(Building_1)_20241005_002.jpg
전북 군산,Gunsan View from Eunpa Lake,AveryHooper,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/3b/Gunsan_View_from_Eunpa_Lake.jpg/960px-Gunsan_View_from_Eunpa_Lake.jpg,https://commons.wikimedia.org/wiki/File:Gunsan_View_from_Eunpa_Lake.jpg
충남 공주,Gongju National Museum,Ryuch,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a1/Gongju_National_Museum.JPG/960px-Gongju_National_Museum.JPG,https://commons.wikimedia.org/wiki/File:Gongju_National_Museum.JPG
충북 충주,Chungju Lake,방창현겨울아찌,CC BY-SA 3.0,https://thumb.wikimedia.org/wikipedia/commons/thumb/2/23/Chungju_Lake.jpg/960px-Chungju_Lake.jpg,https://commons.wikimedia.org/wiki/File:Chungju_Lake.jpg
